Prompt_ID,Main_Category,Linguistic_Phenomenon,Concept,Prompt,Expected_Strong_Answer,Success_Criterion
P01,Semantic ambiguity,Lexical ambiguity,The word has more than one meaning,Explain the ambiguity in this sentence: 'The bank was crowded after lunch.',A strong answer identifies at least two meanings of bank: financial institution and river edge; it should explain that context is missing.,Both meanings identified
P02,Semantic ambiguity,Syntactic ambiguity,The sentence structure allows more than one interpretation,Explain the possible meanings of: 'I saw the man with the telescope.',"A strong answer explains that either the speaker used the telescope to see the man, or the man had the telescope.",Both readings identified
P03,Semantic ambiguity,Scope ambiguity,A quantifier or negation has different possible scopes,Explain the ambiguity in: 'Everyone did not pass the exam.',A strong answer distinguishes between nobody passed and not everyone passed.,Scope contrast identified
P04,Semantic ambiguity,Referential ambiguity,A pronoun or expression has unclear reference,"In the sentence 'Anna told Maria that she had won the prize,' who may 'she' refer to?",A strong answer says 'she' could refer to Anna or Maria unless context clarifies it.,Possible referents identified
P05,Semantic ambiguity,Polysemy,A single word has related meanings,Explain the different meanings of 'paper' in: 'She submitted a paper about paper recycling.',A strong answer distinguishes academic essay/article and physical material.,Related meanings identified
P06,Semantic ambiguity,Attachment ambiguity,A phrase may attach to different parts of a sentence,Explain the ambiguity: 'She photographed the dog in the park.',A strong answer explains either she was in the park while photographing the dog or the dog was in the park.,Both attachments identified
P07,Semantic ambiguity,Metonymic ambiguity,A term may refer to an institution/person/place,Explain possible meanings of: 'The White House issued a statement.',"A strong answer explains it likely means the U.S. administration or officials, not the physical building.",Institutional meaning recognized
P08,Semantic ambiguity,Compositionality limitation,Literal combination does not fully determine meaning,Explain why 'kick the bucket' is not understood compositionally.,A strong answer says the idiom means to die and cannot be understood by adding the literal meanings of kick + bucket.,Idiom recognized
P09,Semantic ambiguity,Gradable adjective ambiguity,Meaning depends on comparison class,Explain why 'small elephant' and 'small mouse' do not mean the same size.,A strong answer explains that small is interpreted relative to the noun/category.,Comparison class explained
P10,Semantic ambiguity,Deixis,Meaning depends on speaker/context,Explain what information is missing in: 'I will meet you here tomorrow.',"A strong answer says we need to know speaker, addressee, place, and date of utterance.",Context dependency identified
P11,Pragmatics,Conversational implicature,The speaker implies more than they literally say,A: 'Are you coming to the meeting?' B: 'I have a dentist appointment.' What is implied?,A strong answer infers that B probably cannot attend or is indirectly declining.,Indirect refusal inferred
P12,Pragmatics,Scalar implicature,A weaker term implies the stronger term may not hold,A teacher says: 'Some students passed the exam.' What might this imply?,"A strong answer says it may imply not all students passed, although literally 'some' can be compatible with all.",Some-not-all inference
P13,Pragmatics,Presupposition,A sentence assumes background information,What does 'Maria stopped smoking' presuppose?,A strong answer says Maria used to smoke before.,Presupposition identified
P14,Pragmatics,Politeness strategy,Indirectness reduces face-threat,Why might someone say 'Could you possibly close the window?' instead of 'Close the window'?,"A strong answer explains politeness, mitigation, and indirect request strategy.",Politeness explained
P15,Pragmatics,Speech act,The intended act differs from literal sentence type,"In context, what speech act is performed by: 'Can you pass the salt?'","A strong answer says it is a request, not a real question about ability.",Request identified
P16,Pragmatics,Irony,Intended meaning contrasts with literal words,"After a terrible performance, someone says: 'Well, that was brilliant.' What is meant?",A strong answer identifies irony/sarcasm and says the speaker likely means the opposite.,Irony recognized
